timestamp_utc,risk_score,risk_level,primary_driver
2025-10-24T12:00:52.289485Z,30,LOW,rail
2025-10-25T12:00:52.289485Z,30,LOW,rail
2025-10-26T12:00:52.289485Z,30,LOW,rail
2025-10-27T12:00:52.289485Z,30,LOW,rail
2025-10-28T12:00:52.289485Z,30,LOW,rail
2025-10-29T12:00:52.289485Z,15,LOW,rail
2025-10-30T12:00:52.289485Z,15,LOW,rail
2025-10-31T12:00:52.289485Z,15,LOW,rail
2025-11-01T12:00:52.289485Z,15,LOW,rail
2025-11-02T12:00:52.289485Z,15,LOW,rail
2025-11-03T12:00:52.289485Z,15,LOW,rail
2025-11-04T12:00:52.289485Z,15,LOW,rail
2025-11-05T12:00:52.289485Z,15,LOW,rail
2025-11-06T12:00:52.289485Z,15,LOW,rail
2025-11-07T12:00:52.289485Z,15,LOW,rail
2025-11-08T12:00:52.289485Z,15,LOW,rail
2025-11-09T12:00:52.289485Z,15,LOW,rail
2025-11-10T12:00:52.289485Z,15,LOW,rail
2025-11-11T12:00:52.289485Z,15,LOW,rail
2025-11-12T12:00:52.289485Z,15,LOW,rail
2025-11-13T12:00:52.289485Z,15,LOW,rail
2025-11-14T12:00:52.289485Z,15,LOW,rail
2025-11-15T12:00:52.289485Z,15,LOW,rail
2025-11-16T12:00:52.289485Z,15,LOW,rail
2025-11-17T12:00:52.289485Z,15,LOW,rail
2025-11-18T12:00:52.289485Z,15,LOW,rail
2025-11-19T12:00:52.289485Z,0,LOW,none
2025-11-20T12:00:52.289485Z,0,LOW,none
2025-11-21T12:00:52.289485Z,0,LOW,none
2025-11-22T12:00:52.289485Z,0,LOW,none
2025-11-23T12:00:52.289485Z,0,LOW,none
2025-11-24T12:00:52.289485Z,0,LOW,none
2025-11-25T12:00:52.289485Z,0,LOW,none
2025-11-26T12:00:52.289485Z,0,LOW,none
2025-11-27T12:00:52.289485Z,0,LOW,none
2025-11-28T12:00:52.289485Z,0,LOW,none
2025-11-29T12:00:52.289485Z,0,LOW,none
2025-11-30T12:00:52.289485Z,0,LOW,none
2025-12-01T12:00:52.289485Z,0,LOW,none
2025-12-02T12:00:52.289485Z,0,LOW,none
2025-12-03T12:00:52.289485Z,0,LOW,none
2025-12-04T12:00:52.289485Z,0,LOW,none
2025-12-05T12:00:52.289485Z,0,LOW,none
2025-12-06T12:00:52.289485Z,0,LOW,none
2025-12-07T12:00:52.289485Z,0,LOW,none
2025-12-08T12:00:52.289485Z,0,LOW,none
2025-12-09T12:00:52.289485Z,0,LOW,none
2025-12-10T12:00:52.289485Z,0,LOW,none
2025-12-11T12:00:52.289485Z,0,LOW,none
2025-12-12T12:00:52.289485Z,0,LOW,none
2025-12-13T12:00:52.289485Z,0,LOW,none
2025-12-14T12:00:52.289485Z,0,LOW,none
2025-12-15T12:00:52.289485Z,0,LOW,none
2025-12-16T12:00:52.289485Z,0,LOW,none
2025-12-17T12:00:52.289485Z,15,LOW,rail
2025-12-18T12:00:52.289485Z,15,LOW,rail
2025-12-19T12:00:52.289485Z,15,LOW,rail
2025-12-20T12:00:52.289485Z,15,LOW,rail
2025-12-21T12:00:52.289485Z,15,LOW,rail
2025-12-22T12:00:52.289485Z,15,LOW,rail
2025-12-23T12:00:52.289485Z,15,LOW,rail
2025-12-24T12:00:52.289485Z,0,LOW,none
2025-12-25T12:00:52.289485Z,0,LOW,none
2025-12-26T12:00:52.289485Z,0,LOW,none
2025-12-27T12:00:52.289485Z,0,LOW,none
2025-12-28T12:00:52.289485Z,0,LOW,none
2025-12-29T12:00:52.289485Z,0,LOW,none
2025-12-30T12:00:52.289485Z,0,LOW,none
2025-12-31T12:00:52.289485Z,15,LOW,rail
2026-01-01T12:00:52.289485Z,15,LOW,rail
2026-01-02T12:00:52.289485Z,15,LOW,rail
2026-01-03T12:00:52.289485Z,15,LOW,rail
2026-01-04T12:00:52.289485Z,15,LOW,rail
2026-01-05T12:00:52.289485Z,15,LOW,rail
2026-01-06T12:00:52.289485Z,15,LOW,rail
2026-01-07T12:00:52.289485Z,15,LOW,rail
2026-01-08T12:00:52.289485Z,15,LOW,rail
2026-01-09T12:00:52.289485Z,15,LOW,rail
2026-01-10T12:00:52.289485Z,15,LOW,rail
2026-01-11T12:00:52.289485Z,15,LOW,rail
2026-01-12T12:00:52.289485Z,15,LOW,rail
2026-01-13T12:00:52.289485Z,15,LOW,rail
2026-01-14T12:00:52.289485Z,0,LOW,none
2026-01-15T12:00:52.289485Z,0,LOW,none
2026-01-16T12:00:52.289485Z,0,LOW,none
2026-01-17T12:00:52.289485Z,0,LOW,none
2026-01-18T12:00:52.289485Z,0,LOW,none
2026-01-19T12:00:52.289485Z,0,LOW,none
2026-01-20T12:00:52.289485Z,0,LOW,none
2026-01-21T12:00:52.289485Z,15,LOW,rail
2026-01-22T09:00:56.337028Z,70,MODERATE,river
